ETCR1A_2             0xFFFFFEF7
MAR1BH               0xFFFFFEF8
MAR1BH_2             0xFFFFFEF9
MAR1BL               0xFFFFFEFA
MAR1BL_2             0xFFFFFEFB
IOAR1B               0xFFFFFEFC
IOAR1B_2             0xFFFFFEFD
ETCR1B               0xFFFFFEFE
ETCR1B_2             0xFFFFFEFF
P1DR                 0xFFFFFF00
P1DR_2               0xFFFFFF01
P3DR                 0xFFFFFF02
P3DR_2               0xFFFFFF04
P3DR_3               0xFFFFFF05
P7DR                 0xFFFFFF06
P7DR_2               0xFFFFFF07
PADR                 0xFFFFFF09
PBDR                 0xFFFFFF0A
PCDR                 0xFFFFFF0B
PDDR                 0xFFFFFF0C
PEDR                 0xFFFFFF0D
PFDR                 0xFFFFFF0E
PGDR                 0xFFFFFF0F
TCR0                 0xFFFFFF10
TMDR0                0xFFFFFF11
TIOR0H               0xFFFFFF12
TIOR0L               0xFFFFFF13
TIER0                0xFFFFFF14
TSR0                 0xFFFFFF15
TCNT0                0xFFFFFF16
TCNT0_2              0xFFFFFF17
TGR0A                0xFFFFFF18
TGR0A_2              0xFFFFFF19
TGR0B                0xFFFFFF1A
TGR0B_2              0xFFFFFF1B
TGR0C                0xFFFFFF1C
TGR0C_2              0xFFFFFF1D
TGR0D                0xFFFFFF1E
TGR0D_2              0xFFFFFF1F
TCR1                 0xFFFFFF20
TMDR1                0xFFFFFF21
TIOR1                0xFFFFFF22
TIER1                0xFFFFFF24
TSR1                 0xFFFFFF25
TCNT1                0xFFFFFF26
TCNT1_2              0xFFFFFF27
TGR1A                0xFFFFFF28
TGR1A_2              0xFFFFFF29
TGR1B                0xFFFFFF2A
TGR1B_2              0xFFFFFF2B
TCR2                 0xFFFFFF30
TMDR2                0xFFFFFF31
TIOR2                0xFFFFFF32
TIER2                0xFFFFFF34
TSR2                 0xFFFFFF35
TCNT2                0xFFFFFF36
TCNT2_2              0xFFFFFF37
TGR2A                0xFFFFFF38
TGR2A_2              0xFFFFFF39
TGR2B                0xFFFFFF3A
TGR2B_2              0xFFFFFF3B
DMAWER               0xFFFFFF60
DMATCR               0xFFFFFF61
DMACR0A              0xFFFFFF62
DMACR0B              0xFFFFFF63
DMACR1A              0xFFFFFF64
DMACR1B              0xFFFFFF65
DMABCRH              0xFFFFFF66
DMABCRL              0xFFFFFF67
TCR0_2               0xFFFFFF68
TCR1_2               0xFFFFFF69
TCSR0_2              0xFFFFFF6A
TCSR1_2              0xFFFFFF6B
TCORA0               0xFFFFFF6C
TCORA1               0xFFFFFF6D
TCORB0               0xFFFFFF6E
TCORB1               0xFFFFFF6F
TCNT0_3              0xFFFFFF70
TCNT1_3              0xFFFFFF71
TCSR0/TCNT0          0xFFFFFF74
TCNT0_4              0xFFFFFF75
RSTCSR               0xFFFFFF76
RSTCSR_2             0xFFFFFF77
SMR0                 0xFFFFFF78
BRR0                 0xFFFFFF79
ICSR0                0xFFFFFF79
SCR0                 0xFFFFFF7A
TDR0                 0xFFFFFF7B
SSR0                 0xFFFFFF7C
RDR0                 0xFFFFFF7D
SCMR0                0xFFFFFF7E
ICDR0/SARX0           0xFFFFFF7E
ICMR0/SAR0           0xFFFFFF7F
SMR1                 0xFFFFFF80
BRR1                 0xFFFFFF81
ICSR1                0xFFFFFF81
SCR1                 0xFFFFFF82
TDR1                 0xFFFFFF83
SSR1                 0xFFFFFF84
RDR1                 0xFFFFFF85
SCMR1                0xFFFFFF86
ICDR1/SARX1           0xFFFFFF86
ICMR1/SAR1           0xFFFFFF87
SMR2                 0xFFFFFF88
BRR2                 0xFFFFFF89
SCR2                 0xFFFFFF8A
TDR2                 0xFFFFFF8B
SSR2                 0xFFFFFF8C
RDR2                 0xFFFFFF8D
SCMR2                0xFFFFFF8E
ADDRAH               0xFFFFFF90
ADDRAL               0xFFFFFF91
ADDRBH               0xFFFFFF92
ADDRBL               0xFFFFFF93
ADDRCH               0xFFFFFF94
ADDRCL               0xFFFFFF95
ADDRDH               0xFFFFFF96
ADDRDL               0xFFFFFF97
ADCSR                0xFFFFFF98
ADCR                 0xFFFFFF99
TCSR1/TCNT1          0xFFFFFFA2
TCNT1_4              0xFFFFFFA3
DADR0                0xFFFFFFA4
DADR1                0xFFFFFFA5
DACR01               0xFFFFFFA6
FLMCR1               0xFFFFFFA8
FLMCR2               0xFFFFFFA9
EBR1                 0xFFFFFFAA
EBR2                 0xFFFFFFAB
FLPWCR               0xFFFFFFAC
PORT1                0xFFFFFFB0
PORT3                0xFFFFFFB2
PORT4                0xFFFFFFB3
PORT7                0xFFFFFFB6
PORT9                0xFFFFFFB8
PORTA                0xFFFFFFB9
PORTB                0xFFFFFFBA
PORTC                0xFFFFFFBB
PORTD                0xFFFFFFBC
PORTE                0xFFFFFFBD
PORTF                0xFFFFFFBE
PORTG                0xFFFFFFBF
